PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilySize,IsAlone,AgeGroup,FareGroup,Deck,processed_at
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,Unknown,S,Mrs,1,1,Middle,High,U,2025-11-11 17:39:35
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Unknown,Q,Master,6,0,Child,High,U,2025-11-11 17:39:35
18,1,2,"Williams, Mr. Charles Eugene",male,28.0,0,0,244373,13.0,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,Unknown,S,Mrs,2,0,Adult,High,U,2025-11-11 17:39:35
20,1,3,"Masselmani, Mrs. Fatima",female,28.0,0,0,2649,7.225,Unknown,C,Mrs,1,1,Adult,Low,U,2025-11-11 17:39:35
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,Unknown,S,Mr,1,1,Adult,High,U,2025-11-11 17:39:35
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,Mr,1,1,Adult,Medium,D,2025-11-11 17:39:35
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,Unknown,Q,Miss,1,1,Teen,Medium,U,2025-11-11 17:39:35
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,Mr,1,1,Adult,Very High,A,2025-11-11 17:39:35
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,Unknown,S,Miss,5,0,Child,High,U,2025-11-11 17:39:35
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,Unknown,S,Mrs,7,0,Middle,Very High,U,2025-11-11 17:39:35
27,0,3,"Emir, Mr. Farred Chehab",male,28.0,0,0,2631,7.225,Unknown,C,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,Mr,6,0,Adult,Very High,C,2025-11-11 17:39:35
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,28.0,0,0,330959,7.8792,Unknown,Q,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
30,0,3,"Todoroff, Mr. Lalio",male,28.0,0,0,349216,7.8958,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,Unknown,C,Royalty,1,1,Middle,High,U,2025-11-11 17:39:35
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,28.0,1,0,PC 17569,146.5208,B78,C,Mrs,2,0,Adult,Very High,B,2025-11-11 17:39:35
33,1,3,"Glynn, Miss. Mary Agatha",female,28.0,0,0,335677,7.75,Unknown,Q,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,Unknown,S,Mr,1,1,Senior,Medium,U,2025-11-11 17:39:35
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,Unknown,C,Mr,2,0,Adult,Very High,U,2025-11-11 17:39:35
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,Unknown,S,Mr,2,0,Middle,Very High,U,2025-11-11 17:39:35
37,1,3,"Mamee, Mr. Hanna",male,28.0,0,0,2677,7.2292,Unknown,C,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,Unknown,S,Miss,3,0,Teen,High,U,2025-11-11 17:39:35
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,Unknown,C,Miss,2,0,Teen,Medium,U,2025-11-11 17:39:35
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,Unknown,S,Mrs,2,0,Middle,Medium,U,2025-11-11 17:39:35
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,Unknown,S,Mrs,2,0,Adult,High,U,2025-11-11 17:39:35
43,0,3,"Kraeff, Mr. Theodor",male,28.0,0,0,349253,7.8958,Unknown,C,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,Unknown,C,Miss,4,0,Child,Very High,U,2025-11-11 17:39:35
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,Unknown,Q,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
46,0,3,"Rogers, Mr. William John",male,28.0,0,0,S.C./A.4. 23567,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
47,0,3,"Lennon, Mr. Denis",male,28.0,1,0,370371,15.5,Unknown,Q,Mr,2,0,Adult,High,U,2025-11-11 17:39:35
48,1,3,"O'Driscoll, Miss. Bridget",female,28.0,0,0,14311,7.75,Unknown,Q,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
49,0,3,"Samaan, Mr. Youssef",male,28.0,2,0,2662,21.6792,Unknown,C,Mr,3,0,Adult,High,U,2025-11-11 17:39:35
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,Unknown,S,Mrs,2,0,Teen,High,U,2025-11-11 17:39:35
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,Unknown,S,Master,6,0,Child,Very High,U,2025-11-11 17:39:35
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,Mrs,2,0,Middle,Very High,D,2025-11-11 17:39:35
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,Unknown,S,Mrs,2,0,Adult,High,U,2025-11-11 17:39:35
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,Mr,2,0,Senior,Very High,B,2025-11-11 17:39:35
56,1,1,"Woolner, Mr. Hugh",male,28.0,0,0,19947,35.5,C52,S,Mr,1,1,Adult,Very High,C,2025-11-11 17:39:35
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,Unknown,S,Miss,1,1,Adult,Medium,U,2025-11-11 17:39:35
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,Unknown,C,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,Unknown,S,Miss,4,0,Child,High,U,2025-11-11 17:39:35
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,Unknown,S,Master,8,0,Child,Very High,U,2025-11-11 17:39:35
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,Unknown,C,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,Unknown,Miss,1,1,Middle,Very High,B,2025-11-11 17:39:35
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,Mr,2,0,Middle,Very High,C,2025-11-11 17:39:35
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,Unknown,S,Master,6,0,Child,High,U,2025-11-11 17:39:35
65,0,1,"Stewart, Mr. Albert A",male,28.0,0,0,PC 17605,27.7208,Unknown,C,Mr,1,1,Adult,High,U,2025-11-11 17:39:35
66,1,3,"Moubarek, Master. Gerios",male,28.0,1,1,2661,15.2458,Unknown,C,Master,3,0,Adult,High,U,2025-11-11 17:39:35
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,Mrs,1,1,Adult,Medium,F,2025-11-11 17:39:35
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,Unknown,S,Miss,7,0,Teen,Medium,U,2025-11-11 17:39:35
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,Unknown,S,Mr,3,0,Adult,Medium,U,2025-11-11 17:39:35
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,Unknown,S,Miss,8,0,Teen,Very High,U,2025-11-11 17:39:35
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,Unknown,S,Mr,1,1,Adult,Very High,U,2025-11-11 17:39:35
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,Unknown,C,Mr,2,0,Adult,Medium,U,2025-11-11 17:39:35
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,Unknown,S,Mr,1,1,Adult,Very High,U,2025-11-11 17:39:35
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,Mr,1,1,Adult,Low,F,2025-11-11 17:39:35
77,0,3,"Staneff, Mr. Ivan",male,28.0,0,0,349208,7.8958,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
78,0,3,"Moutal, Mr. Rahamin Haim",male,28.0,0,0,374746,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
79,1,2,"Caldwell, Master. Alden Gates",male,0.8300000000000001,0,2,248738,29.0,Unknown,S,Master,3,0,Child,High,U,2025-11-11 17:39:35
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,Unknown,S,Miss,1,1,Adult,Medium,U,2025-11-11 17:39:35
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
83,1,3,"McDermott, Miss. Brigdet Delia",female,28.0,0,0,330932,7.7875,Unknown,Q,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,Unknown,S,Mr,1,1,Adult,Very High,U,2025-11-11 17:39:35
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,Unknown,S,Miss,1,1,Teen,Medium,U,2025-11-11 17:39:35
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,Unknown,S,Mrs,4,0,Adult,High,U,2025-11-11 17:39:35
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,Unknown,S,Mr,5,0,Teen,Very High,U,2025-11-11 17:39:35
88,0,3,"Slocovski, Mr. Selman Francis",male,28.0,0,0,SOTON/OQ 392086,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,Miss,6,0,Adult,Very High,C,2025-11-11 17:39:35
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542000000000005,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,Mr,2,0,Middle,Very High,E,2025-11-11 17:39:35
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,Unknown,S,Mr,4,0,Adult,High,U,2025-11-11 17:39:35
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,Unknown,S,Mr,1,1,Middle,Low,U,2025-11-11 17:39:35
96,0,3,"Shorney, Mr. Charles Joseph",male,28.0,0,0,374910,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,Mr,1,1,Senior,Very High,A,2025-11-11 17:39:35
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,Mr,2,0,Adult,Very High,D,2025-11-11 17:39:35
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,Unknown,S,Mrs,2,0,Adult,High,U,2025-11-11 17:39:35
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,Unknown,S,Mr,2,0,Adult,High,U,2025-11-11 17:39:35
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,Unknown,S,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,28.0,0,0,349215,7.8958,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S,Mr,2,0,Adult,Very High,D,2025-11-11 17:39:35
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,Unknown,S,Mr,3,0,Middle,Medium,U,2025-11-11 17:39:35
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,Unknown,S,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
108,1,3,"Moss, Mr. Albert Johan",male,28.0,0,0,312991,7.775,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,Unknown,S,Mr,1,1,Middle,Low,U,2025-11-11 17:39:35
110,1,3,"Moran, Miss. Bertha",female,28.0,1,0,371110,24.15,Unknown,Q,Miss,2,0,Adult,High,U,2025-11-11 17:39:35
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,Mr,1,1,Middle,Very High,C,2025-11-11 17:39:35
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,Unknown,C,Miss,2,0,Teen,Medium,U,2025-11-11 17:39:35
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,Unknown,S,Miss,2,0,Adult,Medium,U,2025-11-11 17:39:35
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,Unknown,C,Miss,1,1,Teen,High,U,2025-11-11 17:39:35
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,Unknown,Q,Mr,1,1,Senior,Low,U,2025-11-11 17:39:35
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,Unknown,S,Mr,2,0,Adult,High,U,2025-11-11 17:39:35
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,Mr,2,0,Adult,Very High,B,2025-11-11 17:39:35
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,Unknown,S,Miss,7,0,Child,Very High,U,2025-11-11 17:39:35
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,Unknown,S,Mr,3,0,Adult,Very High,U,2025-11-11 17:39:35
122,0,3,"Moore, Mr. Leonard Charles",male,28.0,0,0,A4. 54510,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,Unknown,C,Mr,2,0,Adult,High,U,2025-11-11 17:39:35
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S,Miss,1,1,Adult,Medium,E,2025-11-11 17:39:35
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S,Mr,2,0,Middle,Very High,D,2025-11-11 17:39:35
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,Unknown,C,Master,2,0,Child,Medium,U,2025-11-11 17:39:35
127,0,3,"McMahon, Mr. Martin",male,28.0,0,0,370372,7.75,Unknown,Q,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
129,1,3,"Peter, Miss. Anna",female,28.0,1,1,2668,22.3583,F E69,C,Miss,3,0,Adult,High,F,2025-11-11 17:39:35
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,Unknown,S,Mr,1,1,Middle,Low,U,2025-11-11 17:39:35
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,Unknown,C,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,Unknown,S,Mrs,2,0,Middle,High,U,2025-11-11 17:39:35
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,Unknown,S,Mrs,2,0,Adult,High,U,2025-11-11 17:39:35
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,Unknown,C,Mr,1,1,Adult,High,U,2025-11-11 17:39:35
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S,Miss,3,0,Adult,High,D,2025-11-11 17:39:35
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S,Mr,2,0,Middle,Very High,C,2025-11-11 17:39:35
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,Unknown,S,Mr,1,1,Teen,Medium,U,2025-11-11 17:39:35
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C,Mr,1,1,Adult,Very High,B,2025-11-11 17:39:35
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,28.0,0,2,2678,15.2458,Unknown,C,Mrs,3,0,Adult,High,U,2025-11-11 17:39:35
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,Unknown,S,Miss,1,1,Adult,Low,U,2025-11-11 17:39:35
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,Unknown,S,Mrs,2,0,Adult,High,U,2025-11-11 17:39:35
144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,Unknown,Q,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,Unknown,S,Mr,1,1,Teen,Medium,U,2025-11-11 17:39:35
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,Unknown,S,Mr,3,0,Adult,Very High,U,2025-11-11 17:39:35
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,Unknown,S,Miss,5,0,Child,Very High,U,2025-11-11 17:39:35
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S,Mr,3,0,Middle,High,F,2025-11-11 17:39:35
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,Unknown,S,Officer,1,1,Middle,Medium,U,2025-11-11 17:39:35
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,Unknown,S,Officer,1,1,Middle,Medium,U,2025-11-11 17:39:35
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,S,Mrs,2,0,Adult,Very High,C,2025-11-11 17:39:35
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,Unknown,S,Mr,1,1,Middle,Medium,U,2025-11-11 17:39:35
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,Unknown,S,Mr,3,0,Middle,High,U,2025-11-11 17:39:35
155,0,3,"Olsen, Mr. Ole Martin",male,28.0,0,0,Fa 265302,7.3125,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,Unknown,C,Mr,2,0,Middle,Very High,U,2025-11-11 17:39:35
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,Unknown,Q,Miss,1,1,Teen,Low,U,2025-11-11 17:39:35
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
159,0,3,"Smiljanic, Mr. Mile",male,28.0,0,0,315037,8.6625,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
160,0,3,"Sage, Master. Thomas Henry",male,28.0,8,2,CA. 2343,69.55,Unknown,S,Master,11,0,Adult,Very High,U,2025-11-11 17:39:35
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,Unknown,S,Mr,2,0,Middle,High,U,2025-11-11 17:39:35
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,Unknown,S,Mrs,1,1,Middle,High,U,2025-11-11 17:39:35
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,Unknown,S,Mr,1,1,Adult,Low,U,2025-11-11 17:39:35
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,Unknown,S,Mr,1,1,Teen,Medium,U,2025-11-11 17:39:35
165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,Unknown,S,Master,6,0,Child,Very High,U,2025-11-11 17:39:35
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,Unknown,S,Master,3,0,Child,High,U,2025-11-11 17:39:35
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,28.0,0,1,113505,55.0,E33,S,Mrs,2,0,Adult,Very High,E,2025-11-11 17:39:35
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,Unknown,S,Mrs,6,0,Middle,High,U,2025-11-11 17:39:35
169,0,1,"Baumann, Mr. John D",male,28.0,0,0,PC 17318,25.925,Unknown,S,Mr,1,1,Adult,High,U,2025-11-11 17:39:35
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,Unknown,S,Mr,1,1,Adult,Very High,U,2025-11-11 17:39:35
